,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11
phi_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phi_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phi_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phi_3,0.360671,0.5943529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phi_4,0.47979596,0.0,0.0,0.32898104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phi_5,0.5642218,0.251509,0.0,0.38461524,0.45648426,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phi_6,0.0,0.19028333,0.591662,0.2209061,0.0,0.5777758,0.0,0.0,0.0,0.0,0.0,0.0
phi_7,0.0,0.6261643,0.0,0.22461845,0.18340105,0.0,0.15566899,0.0,0.0,0.0,0.0,0.0
phi_8,0.0,0.40682673,0.0,0.0,0.43879756,0.37748894,0.17904323,0.0,0.0,0.0,0.0,0.0
phi_9,0.38654512,0.0,0.4157535,0.46331233,0.24597952,0.27593225,0.0,0.0,0.33425888,0.0,0.0,0.0
phi_10,0.0,0.0,0.0,0.0,0.51934636,0.35660174,0.0,0.0,0.25339293,0.0,0.0,0.0
phi_11,0.0,0.5329679,0.6213811,0.29826853,0.19240004,0.55245346,0.0,0.0,0.0,0.181765,0.0,0.0
