sample,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63
0,-0.010517327,-0.02226109,-0.0007215743,0.026604582,-0.017707419,-0.017567944,-0.006987877,-0.022715326,0.010642598,0.009485439,-0.011138472,-0.035588775,-0.043036774,0.0025021182,-0.0689953,-0.045694638,-0.02267598,0.06360728,0.018530669,-0.017276248,0.017224785,0.072075985,-0.013546368,-0.0024715476,0.05782062,-0.119556375,-0.075080276,-0.022998165,0.017421301,0.0037168935,0.051556014,0.00067498256,-0.029270798,-0.013948247,-0.023222819,0.060485855,-0.04700439,0.017719787,0.06046705,0.00049139373,-0.015193117,-0.017487856,-0.036251947,0.0018838649,-0.037304718,-0.0631129,-0.031105919,-0.06909743,-0.047540866,-0.019034073,-0.03636833,-0.031683184,0.07390463,-0.016273452,0.0029278928,0.00068852864,0.007917948,-0.009734821,-0.051560428,-0.004536913,0.011483345,-0.022498155,0.02106756,-0.002226601
1,0.01572581,-0.10826305,-0.07478267,0.037304573,-0.02494555,-0.014315865,-0.048324388,0.0035278522,0.045867413,0.025200289,0.007684892,0.07323666,0.061565552,-0.0016552247,-0.023980737,0.084654406,-0.017746527,0.026903773,-0.008809812,-0.07741412,0.015718719,0.032270316,0.015384297,-0.077628046,-0.024965543,-0.08107878,-0.1617845,-0.0032040887,0.05721376,0.006270175,0.019093769,0.020621331,-0.029147498,0.0058269054,0.031345207,0.035963833,0.07355868,-0.04362496,-0.0787124,0.073069796,0.06658612,0.00836394,-0.031639513,0.008965204,-0.008595296,-0.10091518,-0.055710424,0.017103761,-0.03493641,-0.02041548,-0.09587678,0.074441336,-0.06728882,-0.062173158,0.13446803,-0.027293924,0.039471164,0.08706431,0.046055675,0.033617333,0.086397246,0.007084907,0.0069360607,-0.03972343
2,-0.0010801866,-0.060557183,-0.112087905,0.09797484,-0.027645731,-0.015917383,-0.037385512,0.108759224,-0.012881893,0.046296615,-0.036141656,0.0022675085,-0.08942952,-0.021722062,-0.15505913,0.002858391,-0.054030336,0.14007466,-0.023756135,-0.051492654,0.10380231,0.061484672,0.000728352,-0.07068784,0.049403943,-0.1069947,-0.092284985,-0.014171802,0.09715359,0.02563797,0.0122178085,-0.0035850322,-0.05399155,0.026526436,0.054218724,0.03477232,0.039453458,0.03236345,-0.056622285,-0.034868196,0.013374284,0.008037312,-0.116540745,-0.042393014,0.015408844,-0.10912763,-0.0935231,-0.04539928,0.009905974,0.044797927,-0.12226111,0.05245683,-0.0065629566,-0.059899338,0.049953885,0.012801144,0.07025227,0.10029234,-3.1225383e-05,0.0405902,0.029962134,0.034622766,0.046272095,-0.01714979
3,-0.07173761,-0.042453,-0.10048677,0.11364788,0.018019145,0.02418977,-0.06747821,0.1255174,-0.041782975,-0.049849942,-0.044288244,-0.038969446,-0.06647623,-0.046757795,-0.07478222,-0.13865392,-0.04818085,0.11405192,-0.09122151,-0.028418789,0.050552882,0.05081153,-0.06474311,-0.08338518,0.040454354,-0.015461062,-0.10519199,0.015482721,0.102821276,-0.040660262,-0.031043753,-0.01814066,-0.090302944,-0.04490321,0.053957496,0.09700844,0.046191677,0.11301935,-0.018991947,-0.09289324,0.06661315,0.06094095,-0.068564534,-0.11689815,-0.050716307,-0.040418565,-0.039081786,-0.003690036,-0.003772283,0.07175711,-0.039475992,0.060568295,0.04415157,-0.0403723,0.037150666,-0.023550699,0.042191155,0.00469777,0.023874775,-0.007598402,-0.042486116,0.018541712,-0.0010744254,-0.028455358
4,0.017905354,-0.079004824,-0.12987429,-0.030716352,0.046411663,0.053518556,-0.06346315,0.026881933,-0.04887093,0.11304255,-0.06437722,-0.035696514,-0.0449832,-0.03626074,-0.09183884,-0.02535232,0.06909798,0.013478097,-0.09739725,-0.03593616,0.0068317265,0.04875453,0.036806867,-0.06352094,-0.06570961,-0.035807937,-0.062250674,-0.016887076,0.13958773,0.026481777,-0.0436755,0.033858128,-0.03323384,-0.025486268,0.022812199,0.07019395,0.012979552,0.054739196,-0.044639554,0.016185842,0.012860318,0.017388105,-0.040023983,-0.028276596,-0.08257535,-0.03307104,-0.060553197,-0.0352123,-0.054611728,-0.04089136,-0.049554985,0.09149361,0.01620447,-0.03882868,0.09778249,0.009169864,0.051577043,-0.037173428,0.04321821,0.042730458,-0.0029224455,0.08642255,0.089904726,0.006755608
5,-0.0055484585,0.0083519835,-0.14767875,-0.008942042,-0.0148034,-0.02742225,-0.14408758,0.08589889,0.0026524495,-0.032120746,0.014426304,-0.06847073,-0.05463496,-0.0030845366,-0.059177943,-0.060075745,-0.029664278,0.06731316,-0.011928185,-0.043034185,0.07662563,0.03886918,-0.008122422,-0.06815915,0.058580987,-0.07374087,-0.047695704,0.020693,0.102362856,0.04759647,-0.00934994,-0.039259866,-0.11108443,0.012789757,0.04118996,0.04727398,0.02949705,0.06851767,0.06535359,-0.09302828,-0.062158063,0.04705837,-0.0075081177,-0.08574749,-0.0074568912,-0.104393944,-0.060734775,-0.002590455,-0.072153024,0.072009966,-0.012727692,0.03410141,0.024982437,0.013426102,0.022028262,0.039911598,-0.023926122,0.023110881,-0.027020983,-0.017602589,-0.0094844,-0.04590011,0.021168297,0.03274076
6,-0.054334484,-0.040091254,-0.0105136,0.03369531,-0.039392672,-0.00726308,-0.10267374,0.06280154,0.05423912,0.019579258,-0.04435151,0.015671283,0.049001507,0.0655671,0.015893234,0.0038357954,-0.05671835,0.03496579,0.025747437,0.0041204174,0.034505792,0.07100237,-0.0619853,-0.07013784,-0.0074662343,-0.062302433,-0.06933558,0.016186517,0.03319862,-0.026479363,0.01944935,0.047885396,0.0002481416,-0.016758557,0.030597318,0.067378156,0.04237343,-0.004740443,0.0049485494,0.01057608,0.021673243,0.056960113,-0.00045613293,-0.0023046872,0.008088652,-0.08648341,-0.05050145,-0.018178359,-0.009574216,-0.006181407,-0.041947134,0.008848584,0.03327251,-0.009108948,0.0008565262,-0.023267362,-0.044265203,0.009484515,-0.08163048,-0.026864616,0.03429458,0.012323232,0.0095389765,-0.016298097
7,0.0056915153,-0.06890422,-0.034682535,0.042095095,-0.023140837,0.009778799,-0.10787981,0.023090865,0.06575323,-0.06478958,-0.058479525,0.0064400146,-0.09173995,-0.017811364,-0.038600758,-0.007195556,-0.012079409,0.01350837,-0.006261809,-0.027390739,0.059289802,0.0017807176,0.0070693865,0.017014256,0.02123393,-0.04485872,-0.12909654,4.2527914e-05,0.111154474,-0.027922984,-0.00041158684,-0.0152092585,-0.06405201,-0.027197938,0.08821918,0.024202382,0.047597665,0.056066897,0.03623435,-0.018925317,-0.0695415,0.029370174,-0.025744596,-0.0315462,-0.03600516,-0.04562431,-0.026095752,0.0069637476,-0.05985608,-0.028840568,-0.0016307179,-0.009211391,0.03555637,0.070097886,0.040005147,0.02453007,-0.067344606,-0.020350268,-0.0020214203,-0.067018144,0.049189687,-0.06991756,-0.072663456,-0.07625594
8,-0.011193315,-0.059730776,-0.10113712,0.04802163,-0.04605856,-0.005817489,0.041048154,0.03882141,0.058366973,-0.07098529,-0.09882919,-0.029250052,-0.14874786,-0.025892679,-0.054456484,-0.13061637,0.01435765,0.056911744,0.0048573962,0.0032133665,0.0055682245,0.010733768,0.042625375,-0.06331134,0.03752929,-0.04119826,-0.10524813,-0.0043205996,0.040157754,0.005444402,-0.020374859,0.0017534932,-0.050917692,-0.0039152987,0.096336134,0.099309705,0.061610922,0.084786,0.024681184,0.037558828,-0.0006909594,0.020082809,-0.08582763,-0.12887534,5.204603e-05,-0.077473834,-0.066433296,0.045263134,0.029937055,0.0477409,-0.08635369,0.026967324,-0.05870757,0.022430664,0.06372832,0.008340115,0.0063963495,-0.019761654,0.019292977,-0.020130388,0.09772275,0.027594727,-0.0058789467,-0.019979632
9,0.052870948,-0.014422418,-0.011143047,0.0036430582,-0.063947394,-0.047790453,0.10922475,0.0075465934,0.016547143,-0.07708648,-0.014980457,-0.008181405,-0.11308634,-0.03318563,-0.07059616,0.045765743,-0.04410008,0.022067327,0.021879805,0.025315363,0.06655103,0.055182368,-0.008446729,0.004000674,0.02458715,-0.036623355,-0.122693084,0.008828591,0.059077185,-0.009072907,-0.07530223,-0.03278862,-0.029653039,0.009974336,0.041302256,0.025332157,-0.029951455,0.023104036,0.04316002,-0.013016723,-0.0069869817,-0.019062433,-0.056298528,-0.009534601,-0.021660615,-0.06985038,0.0024237763,0.072329774,0.005355539,-0.023811616,0.0024909447,-0.013233158,-0.010906577,0.016607493,0.017614609,0.0020176843,-0.022670547,-0.0048228824,-0.04251302,0.021097656,0.044885762,-0.012223059,0.004796054,0.037088625
