sample,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
0,0.09500869,0.1135167,0.11513954,0.10294147,0.09297785,0.10230281,0.09727493,0.087692976,0.10532942,0.08781567
1,0.09507742,0.11022028,0.11256813,0.10190332,0.0933739,0.10230403,0.096930034,0.08979732,0.10929386,0.08853169
2,0.094717726,0.11535663,0.110880084,0.09992215,0.09028738,0.10013644,0.09818935,0.088971734,0.108939886,0.09259863
3,0.09801849,0.11016936,0.110388435,0.1030862,0.09413519,0.1010157,0.09689044,0.08923849,0.10598712,0.09107066
4,0.096676126,0.11029346,0.114533305,0.103938974,0.0899371,0.10143897,0.094386935,0.09045901,0.10921467,0.089121416
5,0.10063157,0.110244386,0.11111846,0.101562835,0.09189451,0.100697204,0.095415086,0.090522185,0.103958584,0.09395517
6,0.09512783,0.11185307,0.1145113,0.099017955,0.09461035,0.1026214,0.099112816,0.0871605,0.10725377,0.08873103
7,0.09785691,0.10487941,0.11472606,0.10192279,0.09377831,0.10432303,0.094489455,0.08995489,0.108776316,0.089292936
8,0.09669583,0.1087843,0.117766954,0.09814864,0.094204806,0.10440933,0.095112965,0.089475065,0.10774521,0.087656975
9,0.10176531,0.11118634,0.11244591,0.098845996,0.091812156,0.10289278,0.09501437,0.090379246,0.10515834,0.09049958
10,0.09851373,0.11148282,0.10634356,0.10408794,0.09442784,0.09915679,0.096586086,0.09151369,0.10439561,0.09349201
11,0.09473248,0.10839352,0.11082074,0.10072099,0.09447858,0.10657161,0.09685157,0.092879854,0.10613948,0.08841117
12,0.09757972,0.11140124,0.111500844,0.09623212,0.092359886,0.10412608,0.09634342,0.087978385,0.11094682,0.09153149
13,0.09926264,0.10676192,0.11407872,0.09898832,0.09459146,0.09966337,0.0965184,0.08737989,0.11098361,0.091771714
14,0.09610367,0.107798815,0.11164506,0.100280404,0.093796335,0.10499361,0.094767086,0.08991227,0.1095728,0.09112999
15,0.09806073,0.11117714,0.10855397,0.10089114,0.09206849,0.10151412,0.09799844,0.09112218,0.10613756,0.092476204
16,0.09815208,0.10979326,0.11183126,0.10323063,0.09351716,0.09745839,0.099150695,0.091896035,0.10522542,0.089745075
17,0.09508255,0.110081814,0.11010759,0.10139826,0.09422558,0.09826975,0.099348545,0.0910393,0.108773,0.09167357
18,0.09503998,0.11069046,0.11099543,0.09829088,0.09227048,0.10529487,0.0932025,0.09169005,0.110280596,0.0922447
19,0.09463235,0.11442829,0.11574757,0.099643104,0.090109974,0.1007602,0.09769104,0.09203264,0.10876901,0.08618582
20,0.09931192,0.11003163,0.11150503,0.09923668,0.09212034,0.10630161,0.09515495,0.087424956,0.10955315,0.089359745
21,0.09733583,0.10783854,0.11055148,0.10368513,0.091896996,0.10185529,0.0949897,0.09117814,0.110450536,0.09021833
22,0.097812116,0.11035203,0.10753898,0.097251505,0.09305154,0.10297808,0.098974265,0.088994734,0.11071897,0.09232776
23,0.092946865,0.117674574,0.1152019,0.099540435,0.09071276,0.10212553,0.09766159,0.089710094,0.105404526,0.089021705
24,0.100790456,0.107653014,0.11360382,0.10178345,0.09455441,0.10113137,0.094404005,0.08549766,0.10943224,0.09114965
25,0.09299598,0.11161396,0.1135403,0.098111086,0.09221624,0.107824564,0.095337264,0.091315374,0.10732419,0.08972102
26,0.09701679,0.10671706,0.11464954,0.10180872,0.09594169,0.10504713,0.095891036,0.09027562,0.10558722,0.08706509
